"Letter","Synapses","Sex","Treatment","Time","ID","P1","P2","X","Y","Age","Animal","Category","Cell"
"AA","Glutamate","Male","Control",3.5,"23615004",-82.99977875,-66.52028656,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",3.583333333,"23615004",-7.051166534,-129.7318268,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",3.666666667,"23615004",-63.42034531,-40.83733749,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",3.75,"23615004",-6.264134407,-39.83346939,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",3.833333333,"23615004",-35.17552567,-49.82396317,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",3.916666667,"23615004",-5.356637955,-204.3312531,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",4,"23615004",-50.91616821,-60.68179321,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",4.083333333,"23615004",-80.59853363,-46.41884232,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",4.166666667,"23615004",-11.30756569,-65.62885284,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",4.25,"23615004",-37.89801407,-31.79449844,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",4.333333333,"23615004",-21.85219193,-71.2906723,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",4.416666667,"23615004",-116.2559128,-73.53130341,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",4.5,"23615004",-36.71746445,-36.71746445,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",4.583333333,"23615004",-48.52294922,-31.43310547,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",4.666666667,"23615004",-121.2190323,-8.914344788,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",4.75,"23615004",-18.79240417,-24.8959198,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",4.833333333,"23615004",-20.62345886,-42.59611511,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",4.916666667,"23615004",-21.41049004,-28.12435722,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",5,"23615005",-8.569014549,-61.66960144,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",5.083333333,"23615005",-10.87389469,-55.4295578,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",5.166666667,"23615005",-9.845934868,-6.794176579,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",5.25,"23615005",-3.629985571,-111.051857,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",5.333333333,"23615005",-53.43788528,-76.02089691,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",5.416666667,"23615005",-4.28852272,-48.23383713,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",5.5,"23615005",-4.866750717,-6.697805405,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",5.583333333,"23615005",-57.74246979,-6.472939014,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",5.666666667,"23615005",-77.38615417,-48.69963074,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",5.75,"23615005",-7.300126076,-16.45539856,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",5.833333333,"23615005",-91.52864075,-56.12825012,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",5.916666667,"23615005",-5.236174107,-43.07797241,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",6,"23615005",-58.48934937,-34.07528687,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",6.083333333,"23615005",-18.90483665,-41.48784256,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",6.166666667,"23615005",2.995541334,-0.05621659,165.2896875,215.629375,31,13,2,"13.2.1"
